                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4335,                 3.3384,                 1.2394,                0.77158,                0.21811,                0.21743,                0.12528,                 1.2463,                 2.3183,                 1.1613,             0.00019456,             0.00019456,             0.00019456
                      2,                 1.2662,                 2.0406,                 1.1115,                0.38814,                0.43394,                0.38425,                0.22952,                 1.2458,                 1.8367,                   1.12,             0.00038669,             0.00038669,             0.00038669
                      3,                 1.2213,                 1.7757,                 1.0822,                0.52473,                0.48269,                0.45708,                0.27526,                 1.1879,                 1.6633,                 1.1222,             0.00057494,             0.00057494,             0.00057494
                      4,                 1.2005,                  1.642,                 1.0748,                0.39742,                 0.5976,                0.51914,                0.32378,                 1.1319,                  1.397,                 1.0856,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.1709,                 1.5402,                 1.0609,                0.70378,                0.51879,                0.62308,                0.40314,                 1.0958,                 1.2969,                 1.0464,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.1486,                 1.4231,                 1.0476,                0.73338,                0.54316,                0.64828,                0.42339,                 1.0778,                 1.2754,                 1.0443,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.1213,                  1.366,                 1.0471,                0.60064,                0.63414,                0.67032,                 0.4498,                 1.1107,                 1.2679,                 1.0849,             0.00055889,             0.00055889,             0.00055889
                      8,                  1.104,                 1.2759,                 1.0354,                  0.605,                0.67456,                0.67442,                0.46035,                 1.0755,                 1.2501,                 1.0591,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.0975,                 1.2449,                 1.0279,                0.63465,                0.71349,                0.70032,                0.47137,                 1.0931,                 1.2036,                 1.0517,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.0915,                 1.1954,                 1.0294,                0.63331,                0.70164,                0.69346,                0.46771,                 1.0845,                 1.2518,                 1.0506,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.0751,                 1.1637,                 1.0208,                0.71741,                 0.6552,                 0.7351,                 0.5069,                 1.0614,                 1.1742,                 1.0503,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.0565,                 1.1347,                 1.0161,                0.71178,                0.70705,                 0.7367,                0.50904,                 1.0416,                 1.0541,                 1.0271,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.0694,                 1.1091,                 1.0189,                0.67993,                0.71958,                0.73475,                 0.5136,                 1.0185,                 1.0362,                 1.0192,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.0424,                 1.0941,                 1.0043,                 0.7242,                0.74739,                 0.7351,                0.50366,                 1.0275,                 1.0379,                 1.0274,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.0345,                   1.06,                 1.0109,                0.81773,                 0.6925,                0.77073,                0.53697,                 1.0189,                 1.0128,                 1.0222,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.0311,                  1.046,                 1.0028,                0.73948,                0.73976,                0.77549,                0.55635,                 1.0031,                0.99482,                 1.0165,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.0195,                 1.0313,                0.99649,                0.71431,                0.74024,                0.75752,                0.53642,                0.99935,                0.98524,                 1.0205,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.0094,                 1.0023,                0.99522,                0.69764,                0.74774,                0.76248,                0.54148,                 1.0127,                 1.0863,                   1.02,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.0096,                 0.9932,                 1.0026,                0.68982,                0.78498,                0.77108,                0.53963,                0.99495,                0.96383,                 1.0107,             0.00048904,             0.00048904,             0.00048904
                     20,                0.99853,                0.97762,                0.98607,                0.78409,                0.74232,                0.79555,                0.56649,                0.99866,                0.92583,                  1.012,             0.00048322,             0.00048322,             0.00048322
                     21,                0.99571,                0.95591,                0.98921,                0.83763,                0.73771,                 0.8172,                0.57163,                0.96721,                0.90742,                0.99759,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.0055,                0.93901,                0.98744,                0.74855,                0.77071,                0.78931,                0.56131,                0.97346,                0.91464,                 1.0071,             0.00047158,             0.00047158,             0.00047158
                     23,                0.99743,                0.93749,                 0.9843,                0.79193,                0.75307,                 0.8162,                0.58135,                0.97326,                 0.9131,                0.99664,             0.00046575,             0.00046575,             0.00046575
                     24,                0.97841,                  0.909,                 0.9791,                0.77981,                0.75579,                0.80644,                 0.5749,                0.98922,                0.93359,                 1.0116,             0.00045993,             0.00045993,             0.00045993
                     25,                 0.9866,                0.92585,                0.98359,                0.76135,                0.79394,                0.80945,                0.57765,                0.98076,                0.89865,                 1.0077,             0.00045411,             0.00045411,             0.00045411
                     26,                0.97262,                0.87619,                0.97874,                0.73852,                0.77544,                0.80611,                0.58629,                0.97548,                0.91541,                0.99534,             0.00044829,             0.00044829,             0.00044829
                     27,                0.96803,                0.89956,                 0.9751,                0.76613,                0.79119,                0.82915,                 0.6028,                0.96154,                0.89321,                0.98706,             0.00044247,             0.00044247,             0.00044247
                     28,                0.97396,                0.88481,                0.97696,                0.81422,                0.77066,                0.83731,                0.60754,                0.94678,                0.85202,                0.98042,             0.00043665,             0.00043665,             0.00043665
                     29,                0.96027,                0.86397,                0.97218,                0.85463,                0.76332,                0.83966,                0.61013,                0.94164,                0.85772,                0.98526,             0.00043083,             0.00043083,             0.00043083
                     30,                0.94676,                0.85216,                0.96765,                0.80594,                0.80155,                0.85327,                0.62019,                0.95182,                0.86932,                0.99168,             0.00042501,             0.00042501,             0.00042501
                     31,                0.93864,                0.85847,                0.96413,                0.75808,                0.82739,                0.83307,                0.60837,                  0.971,                0.89444,                0.99303,             0.00041919,             0.00041919,             0.00041919
                     32,                0.94033,                0.84995,                0.96689,                0.84415,                 0.7464,                0.83434,                0.61438,                0.94292,                0.85786,                0.98313,             0.00041336,             0.00041336,             0.00041336
